school_name,division,city_state,type,conference,athletics_domain,status,score,reason
Columbia State Community College Chargers,NJCAA D1,"Columbia, Tennessee",,,athletics.columbiastate.edu,FOUND,250,.edu with athletics/sports; 5 school/city/mascot tokens matched
Dyersburg State Community College Eagles,NJCAA D1,"Dyersburg, Tennessee",,,tjccaa.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Jackson State Community College Green Jays,NJCAA D1,"Jackson, Tennessee",,,jsccgreenjays.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Motlow State Community College Bucks,NJCAA D1,"Lynchburg, Tennessee",,,motlowsports.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Pellissippi State Community College Panthers,NJCAA D1,"Knoxville, Tennessee",,,psccpanthers.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Roane State Community College Raider,NJCAA D1,"Harriman, Tennessee",,,rsccathletics.com,FOUND,410,.com with athletics/sports; 7 school/city/mascot tokens matched
Southwest Tennessee Community College Salquis,NJCAA D1,"Memphis, Tennessee",,,gametimesportsnetwork.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Volunteer State Community College Pioneers,NJCAA D1,"Gallatin, Tennessee",,,volstatepioneers.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Walters State Community College Senators,NJCAA D1,"Morristown, Tennessee",,,gostatesmen.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Angelina College Roadrunners,NJCAA D1,"Lufkin, Texas",,,angelinaathletics.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Blinn College Buccaneers,NJCAA D1,"Brenham, Texas",,,buccaneersports.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Clarendon College Bulldogs,NJCAA D1,"Clarendon, Texas",,,clarendonbulldogs.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Cisco College Wranglers,NJCAA D1,"Cisco, Texas",,,hpusports.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Coastal Bend College Cougars,NJCAA D1,"Beeville, Texas",,,cbcathletics.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Collin College Cougars,NJCAA D1,"Collin County, Texas",,,athletics.collin.edu,FOUND,220,.edu with athletics/sports; 4 school/city/mascot tokens matched
Frank Phillips College Plainsmen,NJCAA D1,"Borger, Texas",,,npccknights.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Grayson County College Vikings,NJCAA D1,"Denison, Texas",,,gcvikings.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Hill College Rebels,NJCAA D1,"Hillsboro, Texas",,,hillcollegeathletics.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Howard College Hawks,NJCAA D1,"Big Spring, Texas",,,hchawk.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Jacksonville College Jaguars,NJCAA D1,"Jacksonville, Texas",,,athletics.jacksonvillecollege.edu,FOUND,160,.edu with athletics/sports; 2 school/city/mascot tokens matched; Accepted with low score due to strong keyword
Kilgore College Rangers,NJCAA D1,"Kilgore, Texas",,,kcrangernation.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Lee College Runnin' Rebels,NJCAA D1,"Baytown, Texas",,,mkepanthers.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
McLennan Community College Highlanders,NJCAA D1,"Waco, Texas",,,mclennanathletics.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Midland College Chaparrals,NJCAA D1,"Midland, Texas",,,gochaps.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Navarro College Bulldogs,NJCAA D1,"Corsicana, Texas",,,navarrobulldogs.com,FOUND,290,.com with athletics/sports; 3 school/city/mascot tokens matched
Northeast Texas Community College Eagles,NJCAA D1,"Mount Pleasant, Texas",,,ntcceagles.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Odessa College Wranglers,NJCAA D1,"Odessa, Texas",,,wranglersports.com,FOUND,290,.com with athletics/sports; 3 school/city/mascot tokens matched
Panola College Ponies,NJCAA D1,"Carthage, Texas",,,panolaathletics.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Paris Junior College Dragons,NJCAA D1,"Paris, Texas",,,pjcathletics.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
San Jacinto College-Central Gators,NJCAA D1,"Pasadena, Texas",,,sanjacsports.com,FOUND,290,.com with athletics/sports; 3 school/city/mascot tokens matched
South Plains College Texans,NJCAA D1,"Lubbock, Texas",,,spctexans.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Southwestern Christian College Rams,NJCAA D1,"Terrell, Texas",,,swccramathletics.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Temple College Leopards,NJCAA D1,"Temple, Texas",,,tcleopards.com,FOUND,290,.com with athletics/sports; 3 school/city/mascot tokens matched
Trinity Valley Community College Cardinals,NJCAA D1,"Athens, Texas",,,tvccsports.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Tyler Junior College Apaches,NJCAA D1,"Tyler, Texas",,,apacheathletics.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Western Texas College Westerners,NJCAA D1,"Snyder, Texas",,,wtcathletics.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Wharton County Junior College Pioneers,NJCAA D1,"Wharton, Texas",,,hcuhuskies.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Salt Lake Community College Bruin Bears,NJCAA D1,"Salt Lake City, Utah",,,slccbruins.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Snow College Badgers,NJCAA D1,"Ephraim, Utah",,,usueasternathletics.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Potomac State College of West Virginia University Catamounts,NJCAA D1,"Keyser, West Virginia",,,potomacstatesports.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Casper College Thunderbirds,NJCAA D1,"Casper, Wyoming",,,govandals.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Central Wyoming College Rustlers,NJCAA D1,"Riverton, Wyoming",,,rustlerathletics.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Eastern Wyoming College Lancers,NJCAA D1,"Torrington, Wyoming",,,ewcathletics.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Laramie County Community College Golden Eagles,NJCAA D1,"Cheyenne, Wyoming",,,golccc.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Northwest College Trappers,NJCAA D1,"Powell, Wyoming",,,nwctrappers.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Sheridan College Generals,NJCAA D1,"Gillette, Wyoming",,,thesheridanpress.com,FOUND,290,.com with athletics/sports; 3 school/city/mascot tokens matched
Western Wyoming Community College Mustangs,NJCAA D1,"Rock Springs, Wyoming",,,westernwyoming.edu,FOUND,310,.edu with athletics/sports; 7 school/city/mascot tokens matched
